media_name,o2,glucose,acetate,po_ratio,growth_rate,oxygen_flux,uptake,co2,organic_c,biomass,co2_norm,organic_c_norm,biomass_norm,cue,gge,bge
Acetate Only,1000,0.0,30,"(3, 1)",0.2473107095749277,-38.10736531551948,60.0,23.84411909272077,25.5616684982154,10.594212409063825,0.3974019848786795,0.42602780830359,0.17657020681773042,0.6025980151213205,0.1765702068177305,0.3076285042588324
Acetate Only,1000,0.0,30,"(4, 1)",0.2473107095749277,-38.10736531551948,60.0,23.84411909272077,25.5616684982154,10.594212409063825,0.3974019848786795,0.42602780830359,0.17657020681773042,0.6025980151213205,0.1765702068177305,0.3076285042588324
Acetate Only,1000,0.0,30,"(5, 1)",0.2473107095749277,-38.10736531551948,60.0,23.84411909272077,25.5616684982154,10.594212409063825,0.3974019848786795,0.42602780830359,0.17657020681773042,0.6025980151213205,0.1765702068177305,0.3076285042588324
"Glucose 8mM, Acetate 4mM",0,6.667,10,"(1, 1)",0.0,,,,,,,,,,,
"Glucose 8mM, Acetate 4mM",0,6.667,10,"(2, 1)",0.0,,,,,,,,,,,
"Glucose 8mM, Acetate 4mM",0,6.667,10,"(3, 1)",0.0,,,,,,,,,,,
"Glucose 8mM, Acetate 4mM",0,6.667,10,"(4, 1)",0.0,,,,,,,,,,,
"Glucose 8mM, Acetate 4mM",0,6.667,10,"(5, 1)",0.0,,,,,,,,,,,
"Glucose 8mM, Acetate 4mM",5,6.667,10,"(1, 1)",0.31896043730380813,-5.0,40.001999999999995,13.100480273107559,13.23800054999453,13.663519176897909,0.3274956320460867,0.33093346707650945,0.3415709008774039,0.6725043679539133,0.3415709008774038,0.5105185868211157
"Glucose 8mM, Acetate 4mM",5,6.667,10,"(2, 1)",0.31896043730380813,-5.0,40.001999999999995,13.100480273107559,13.23800054999453,13.663519176897909,0.3274956320460867,0.33093346707650945,0.3415709008774039,0.6725043679539133,0.3415709008774038,0.5105185868211157
"Glucose 8mM, Acetate 4mM",5,6.667,10,"(3, 1)",0.31896043730380813,-5.0,40.001999999999995,13.100480273107559,13.23800054999453,13.663519176897909,0.3274956320460867,0.33093346707650945,0.3415709008774039,0.6725043679539133,0.3415709008774038,0.5105185868211157
"Glucose 8mM, Acetate 4mM",5,6.667,10,"(4, 1)",0.31896043730380813,-5.0,40.001999999999995,13.100480273107559,13.23800054999453,13.663519176897909,0.3274956320460867,0.33093346707650945,0.3415709008774039,0.6725043679539133,0.3415709008774038,0.5105185868211157
"Glucose 8mM, Acetate 4mM",5,6.667,10,"(5, 1)",0.31896043730380813,-5.0,40.001999999999995,13.100480273107559,13.23800054999453,13.663519176897909,0.3274956320460867,0.33093346707650945,0.3415709008774039,0.6725043679539133,0.3415709008774038,0.5105185868211157
"Glucose 8mM, Acetate 4mM",10,6.667,10,"(1, 1)",0.40043442681116814,-10.0,40.001999999999995,16.36760608150318,6.480719575467172,17.153674343029643,0.4091696935529019,0.16200988889223472,0.4288204175548634,0.5908303064470981,0.42882041755486333,0.5117249140183675
"Glucose 8mM, Acetate 4mM",10,6.667,10,"(2, 1)",0.40043442681116814,-10.0,40.001999999999995,16.36760608150318,6.480719575467172,17.153674343029643,0.4091696935529019,0.16200988889223472,0.4288204175548634,0.5908303064470981,0.42882041755486333,0.5117249140183675
"Glucose 8mM, Acetate 4mM",10,6.667,10,"(3, 1)",0.40043442681116814,-10.0,40.001999999999995,16.36760608150318,6.480719575467172,17.153674343029643,0.4091696935529019,0.16200988889223472,0.4288204175548634,0.5908303064470981,0.42882041755486333,0.5117249140183675
"Glucose 8mM, Acetate 4mM",10,6.667,10,"(4, 1)",0.40043442681116814,-10.0,40.001999999999995,16.36760608150318,6.480719575467172,17.153674343029643,0.4091696935529019,0.16200988889223472,0.4288204175548634,0.5908303064470981,0.42882041755486333,0.5117249140183675
"Glucose 8mM, Acetate 4mM",10,6.667,10,"(5, 1)",0.40043442681116814,-10.0,40.001999999999995,16.36760608150318,6.480719575467172,17.153674343029643,0.4091696935529019,0.16200988889223472,0.4288204175548634,0.5908303064470981,0.42882041755486333,0.5117249140183675
"Glucose 8mM, Acetate 4mM",20,6.667,10,"(1, 1)",0.5633824058275025,-20.0,47.06968523149814,22.901857698576645,0.03384285779648706,24.13398467512501,0.48655217441843346,0.0007189947761503207,0.5127288308054162,0.5134478255815665,0.5127288308054163,0.5130977454040162
"Glucose 8mM, Acetate 4mM",20,6.667,10,"(2, 1)",0.5633824058275025,-20.0,47.06968523149814,22.901857698576645,0.03384285779648706,24.13398467512501,0.48655217441843346,0.0007189947761503207,0.5127288308054162,0.5134478255815665,0.5127288308054163,0.5130977454040162
"Glucose 8mM, Acetate 4mM",20,6.667,10,"(3, 1)",0.5633824058275025,-20.0,47.06968523149814,22.901857698576645,0.03384285779648706,24.13398467512501,0.48655217441843346,0.0007189947761503207,0.5127288308054162,0.5134478255815665,0.5127288308054163,0.5130977454040162
"Glucose 8mM, Acetate 4mM",20,6.667,10,"(4, 1)",0.5633824058275025,-20.0,47.06968523149814,22.901857698576645,0.03384285779648706,24.13398467512501,0.48655217441843346,0.0007189947761503207,0.5127288308054162,0.5134478255815665,0.5127288308054163,0.5130977454040162
"Glucose 8mM, Acetate 4mM",20,6.667,10,"(5, 1)",0.5633824058275025,-20.0,47.06968523149814,22.901857698576645,0.03384285779648706,24.13398467512501,0.48655217441843346,0.0007189947761503207,0.5127288308054162,0.5134478255815665,0.5127288308054163,0.5130977454040162
"Glucose 8mM, Acetate 4mM",30,6.667,10,"(1, 1)",0.6518020587917481,-27.549770823438443,60.001999999999995,27.58695622213277,4.493367958069894,27.921675819797333,0.4597672781262753,0.07488696973550706,0.46534575213821766,0.5402327218737246,0.4653457521382176,0.503015022937439
"Glucose 8mM, Acetate 4mM",30,6.667,10,"(2, 1)",0.6518020587917481,-27.549770823438443,60.001999999999995,27.58695622213277,4.493367958069894,27.921675819797333,0.4597672781262753,0.07488696973550706,0.46534575213821766,0.5402327218737246,0.4653457521382176,0.503015022937439
"Glucose 8mM, Acetate 4mM",30,6.667,10,"(3, 1)",0.6518020587917481,-27.549770823438443,60.001999999999995,27.58695622213277,4.493367958069894,27.921675819797333,0.4597672781262753,0.07488696973550706,0.46534575213821766,0.5402327218737246,0.4653457521382176,0.503015022937439
"Glucose 8mM, Acetate 4mM",30,6.667,10,"(4, 1)",0.6518020587917481,-27.549770823438443,60.001999999999995,27.58695622213277,4.493367958069894,27.921675819797333,0.4597672781262753,0.07488696973550706,0.46534575213821766,0.5402327218737246,0.4653457521382176,0.503015022937439
"Glucose 8mM, Acetate 4mM",30,6.667,10,"(5, 1)",0.6518020587917481,-27.549770823438443,60.001999999999995,27.58695622213277,4.493367958069894,27.921675819797333,0.4597672781262753,0.07488696973550706,0.46534575213821766,0.5402327218737246,0.4653457521382176,0.503015022937439
"Glucose 8mM, Acetate 4mM",1000,6.667,10,"(1, 1)",0.6518020587917487,-27.54977082349026,60.001999999999995,27.586956222132795,4.493367958069896,27.9216758197973,0.4597672781262757,0.0748869697355071,0.4653457521382171,0.5402327218737243,0.46534575213821716,0.5030150229374385
"Glucose 8mM, Acetate 4mM",1000,6.667,10,"(2, 1)",0.6518020587917487,-27.54977082349026,60.001999999999995,27.586956222132795,4.493367958069896,27.9216758197973,0.4597672781262757,0.0748869697355071,0.4653457521382171,0.5402327218737243,0.46534575213821716,0.5030150229374385
"Glucose 8mM, Acetate 4mM",1000,6.667,10,"(3, 1)",0.6518020587917487,-27.54977082349026,60.001999999999995,27.586956222132795,4.493367958069896,27.9216758197973,0.4597672781262757,0.0748869697355071,0.4653457521382171,0.5402327218737243,0.46534575213821716,0.5030150229374385
"Glucose 8mM, Acetate 4mM",1000,6.667,10,"(4, 1)",0.6518020587917487,-27.54977082349026,60.001999999999995,27.586956222132795,4.493367958069896,27.9216758197973,0.4597672781262757,0.0748869697355071,0.4653457521382171,0.5402327218737243,0.46534575213821716,0.5030150229374385
"Glucose 8mM, Acetate 4mM",1000,6.667,10,"(5, 1)",0.6518020587917487,-27.54977082349026,60.001999999999995,27.586956222132795,4.493367958069896,27.9216758197973,0.4597672781262757,0.0748869697355071,0.4653457521382171,0.5402327218737243,0.46534575213821716,0.5030150229374385
"Acetate 8mM, Glucose 4mM",0,3.333,20,"(1, 1)",0.0,,,,,,,,,,,
"Acetate 8mM, Glucose 4mM",0,3.333,20,"(2, 1)",0.0,,,,,,,,,,,
"Acetate 8mM, Glucose 4mM",0,3.333,20,"(3, 1)",0.0,,,,,,,,,,,
"Acetate 8mM, Glucose 4mM",0,3.333,20,"(4, 1)",0.0,,,,,,,,,,,
"Acetate 8mM, Glucose 4mM",0,3.333,20,"(5, 1)",0.0,,,,,,,,,,,
"Acetate 8mM, Glucose 4mM",5,3.333,20,"(1, 1)",0.20019940281252896,-5.0,19.998,8.183065576039983,3.238860216597794,8.576074207362224,0.4091941982218213,0.16195920675056477,0.4288465950276139,0.5908058017781788,0.4288465950276139,0.5117252029758552
"Acetate 8mM, Glucose 4mM",5,3.333,20,"(2, 1)",0.20019940281252896,-5.0,19.998,8.183065576039983,3.238860216597794,8.576074207362224,0.4091941982218213,0.16195920675056477,0.4288465950276139,0.5908058017781788,0.4288465950276139,0.5117252029758552
"Acetate 8mM, Glucose 4mM",5,3.333,20,"(3, 1)",0.20019940281252896,-5.0,19.998,8.183065576039983,3.238860216597794,8.576074207362224,0.4091941982218213,0.16195920675056477,0.4288465950276139,0.5908058017781788,0.4288465950276139,0.5117252029758552
"Acetate 8mM, Glucose 4mM",5,3.333,20,"(4, 1)",0.20019940281252896,-5.0,19.998,8.183065576039983,3.238860216597794,8.576074207362224,0.4091941982218213,0.16195920675056477,0.4288465950276139,0.5908058017781788,0.4288465950276139,0.5117252029758552
"Acetate 8mM, Glucose 4mM",5,3.333,20,"(5, 1)",0.20019940281252896,-5.0,19.998,8.183065576039983,3.238860216597794,8.576074207362224,0.4091941982218213,0.16195920675056477,0.4288465950276139,0.5908058017781788,0.4288465950276139,0.5117252029758552
"Acetate 8mM, Glucose 4mM",10,3.333,20,"(1, 1)",0.28167339232069616,-10.0,23.533341116979713,11.450191384576703,0.016920359000849143,12.06622937340216,0.4865518809105772,0.0007189951871577135,0.5127291239022651,0.5134481190894228,0.5127291239022651,0.5130980389227906
"Acetate 8mM, Glucose 4mM",10,3.333,20,"(2, 1)",0.28167339232069616,-10.0,23.533341116979713,11.450191384576703,0.016920359000849143,12.06622937340216,0.4865518809105772,0.0007189951871577135,0.5127291239022651,0.5134481190894228,0.5127291239022651,0.5130980389227906
"Acetate 8mM, Glucose 4mM",10,3.333,20,"(3, 1)",0.28167339232069616,-10.0,23.533341116979713,11.450191384576703,0.016920359000849143,12.06622937340216,0.4865518809105772,0.0007189951871577135,0.5127291239022651,0.5134481190894228,0.5127291239022651,0.5130980389227906
"Acetate 8mM, Glucose 4mM",10,3.333,20,"(4, 1)",0.28167339232069616,-10.0,23.533341116979713,11.450191384576703,0.016920359000849143,12.06622937340216,0.4865518809105772,0.0007189951871577135,0.5127291239022651,0.5134481190894228,0.5127291239022651,0.5130980389227906
